epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.518,1.39826,1.32296,1.48147,0.49224,0.98913,0.74739,0.45149,1.34407,1.08048,1.28366,0.000331197,0.000331197,0.0672115
2,465.366,1.16668,0.92567,1.26265,0.78311,0.96741,0.98111,0.58061,1.39596,1.01252,1.3291,0.000663881,0.000663881,0.0342109
3,685.074,1.16488,0.78098,1.25292,0.94472,0.95648,0.98969,0.67922,1.15385,0.62039,1.19165,0.000993968,0.000993968,0.00120764
4,906.169,1.10461,0.58938,1.21871,0.98917,0.97919,0.99154,0.62364,1.29401,0.58102,1.23887,0.000991232,0.000991232,0.000991232
5,1128.71,1.08392,0.56291,1.2018,0.98287,1,0.99486,0.69687,1.06251,0.49323,1.13898,0.000984449,0.000984449,0.000984449
6,1357.86,1.04654,0.53555,1.18209,0.99574,1,0.995,0.70606,1.0554,0.47754,1.12105,0.000975773,0.000975773,0.000975773
7,1586.65,1.03856,0.52614,1.17525,0.99337,1,0.995,0.70253,1.05819,0.46817,1.14288,0.000965239,0.000965239,0.000965239
8,1812.82,1.01126,0.52033,1.1553,0.99777,0.9996,0.995,0.68717,1.1108,0.46857,1.16002,0.000952889,0.000952889,0.000952889
9,2055.35,1.00371,0.49892,1.16554,0.99105,0.99334,0.99475,0.69229,1.06676,0.48436,1.15017,0.000938772,0.000938772,0.000938772
10,2277.35,0.98703,0.47982,1.14989,0.99537,0.99885,0.995,0.71122,1.02742,0.4378,1.11947,0.000922942,0.000922942,0.000922942
11,2503.35,0.99475,0.4647,1.15155,0.99503,1,0.99493,0.71394,1.04963,0.43124,1.12471,0.000905463,0.000905463,0.000905463
12,2731.32,0.95377,0.44187,1.13822,0.99822,1,0.995,0.72147,1.01345,0.41774,1.11107,0.000886404,0.000886404,0.000886404
13,2966.33,0.96306,0.43683,1.12902,0.99869,1,0.995,0.71621,1.01927,0.42813,1.10976,0.000865839,0.000865839,0.000865839
14,3190.51,0.9399,0.44009,1.11734,0.99851,1,0.995,0.71898,1.02636,0.41145,1.1201,0.000843851,0.000843851,0.000843851
15,3424.27,0.93923,0.42282,1.12016,0.99776,0.99273,0.99496,0.72042,1.01311,0.4042,1.10179,0.000820525,0.000820525,0.000820525
16,3663.33,0.95148,0.44055,1.11992,0.98359,0.98836,0.995,0.70465,1.07152,0.42653,1.13126,0.000795954,0.000795954,0.000795954
17,3889.9,0.93449,0.42107,1.11672,0.99712,1,0.995,0.71253,1.02516,0.395,1.1081,0.000770234,0.000770234,0.000770234
18,4115.74,0.90613,0.4106,1.10103,0.99822,1,0.995,0.71423,1.0201,0.38956,1.10496,0.000743468,0.000743468,0.000743468
19,4347.2,0.89551,0.40485,1.09453,0.99821,1,0.995,0.72664,1.00251,0.39367,1.10164,0.000715761,0.000715761,0.000715761
20,4577.64,0.88052,0.39299,1.07935,0.99815,1,0.995,0.71022,1.05662,0.39715,1.10768,0.000687222,0.000687222,0.000687222
21,4802.51,0.88637,0.40451,1.08561,0.99794,0.99988,0.995,0.71762,1.00783,0.39243,1.10266,0.000657963,0.000657963,0.000657963
22,5033.46,0.86748,0.37933,1.07622,0.99835,1,0.995,0.71984,1.01008,0.38062,1.10329,0.000628101,0.000628101,0.000628101
23,5256.36,0.85724,0.38424,1.06205,0.99568,1,0.995,0.71606,1.02749,0.38685,1.1285,0.000597754,0.000597754,0.000597754
24,5480.35,0.8381,0.37005,1.06152,0.99873,1,0.995,0.72187,1.02356,0.38159,1.11391,0.00056704,0.00056704,0.00056704
25,5702.83,0.81511,0.36252,1.04364,0.99806,0.99921,0.995,0.70808,1.05128,0.3896,1.13527,0.000536081,0.000536081,0.000536081
26,5930.39,0.80423,0.35809,1.03248,0.9985,1,0.995,0.71972,1.00989,0.37944,1.12313,0.000505,0.000505,0.000505
27,6151.82,0.80464,0.3536,1.03723,0.99841,1,0.995,0.69103,1.10403,0.37919,1.17461,0.000473919,0.000473919,0.000473919
28,6373.28,0.79436,0.34305,1.03126,0.99727,0.99974,0.995,0.72063,1.00115,0.36152,1.11998,0.00044296,0.00044296,0.00044296
29,6610.1,0.77992,0.34414,1.02655,0.9971,1,0.995,0.71779,1.03449,0.38859,1.11742,0.000412246,0.000412246,0.000412246
