epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.799,1.90165,2.72258,1.67138,0.52606,0.69062,0.64459,0.28861,1.83351,1.85122,1.46331,0.000330709,0.000330709,0.0672598
2,380.738,1.64179,1.49371,1.44786,0.63996,0.78193,0.79079,0.3906,1.67039,1.31731,1.39329,0.00066388,0.00066388,0.0342597
3,559.551,1.57343,1.28371,1.41464,0.73492,0.8141,0.86601,0.44769,1.57746,1.14437,1.35599,0.000996401,0.000996401,0.00125887
4,726.69,1.53064,1.18001,1.39572,0.78442,0.82055,0.89785,0.42716,1.66415,1.13079,1.37455,0.000997803,0.000997803,0.000997803
5,904.376,1.50028,1.1184,1.37703,0.8555,0.84225,0.91776,0.46052,1.60209,1.0554,1.34676,0.000996097,0.000996097,0.000996097
6,1100.36,1.48437,1.02677,1.36964,0.83176,0.85199,0.88693,0.39501,1.80756,1.04943,1.45116,0.000993906,0.000993906,0.000993906
7,1293.85,1.4966,0.97902,1.37258,0.88777,0.87787,0.93485,0.49494,1.53907,0.92432,1.32853,0.000991232,0.000991232,0.000991232
8,1474.04,1.45599,0.95243,1.35327,0.90129,0.8825,0.93843,0.50673,1.52319,0.8987,1.32436,0.000988079,0.000988079,0.000988079
9,1653.21,1.42683,0.90907,1.3371,0.91341,0.90184,0.9392,0.45036,1.69069,0.89899,1.38276,0.000984449,0.000984449,0.000984449
10,1829.18,1.43308,0.89725,1.33698,0.91348,0.90161,0.94863,0.46944,1.61634,0.89363,1.35942,0.000980345,0.000980345,0.000980345
11,2019.34,1.42369,0.88278,1.33429,0.91084,0.89438,0.95158,0.5072,1.51582,0.85813,1.32844,0.000975773,0.000975773,0.000975773
12,2195.49,1.43483,0.85222,1.33664,0.9207,0.91191,0.95802,0.53088,1.46504,0.82044,1.29875,0.000970736,0.000970736,0.000970736
13,2370.74,1.42577,0.84734,1.3323,0.91876,0.89308,0.94866,0.50736,1.50639,0.84961,1.31834,0.000965239,0.000965239,0.000965239
14,2552.16,1.40264,0.82174,1.3181,0.90938,0.90086,0.93531,0.46413,1.62442,0.89206,1.37216,0.000959289,0.000959289,0.000959289
15,2727.72,1.38814,0.82881,1.31081,0.91677,0.90682,0.93033,0.43921,1.73144,0.86355,1.41177,0.000952889,0.000952889,0.000952889
16,2920.82,1.39301,0.80138,1.31401,0.93044,0.91937,0.9553,0.47134,1.61781,0.83607,1.36193,0.000946048,0.000946048,0.000946048
17,3100.66,1.38746,0.79928,1.31264,0.90322,0.88325,0.9277,0.4377,1.71573,0.886,1.4146,0.000938772,0.000938772,0.000938772
18,3277.84,1.36933,0.7887,1.29912,0.9362,0.9131,0.95496,0.50669,1.55089,0.78375,1.33666,0.000931067,0.000931067,0.000931067
19,3456.51,1.35959,0.77439,1.2982,0.92008,0.9227,0.95109,0.48753,1.58528,0.78976,1.35501,0.000922942,0.000922942,0.000922942
20,3639.93,1.36633,0.76301,1.29849,0.9088,0.8949,0.92723,0.43956,1.6955,0.8723,1.43499,0.000914405,0.000914405,0.000914405
21,3820.31,1.34201,0.76414,1.2842,0.92897,0.92328,0.95639,0.50749,1.51656,0.78353,1.32886,0.000905463,0.000905463,0.000905463
22,4007.92,1.34454,0.74302,1.28453,0.92275,0.92294,0.95344,0.46634,1.6637,0.80139,1.38228,0.000896127,0.000896127,0.000896127
23,4184.63,1.34879,0.74396,1.28352,0.92521,0.91649,0.95958,0.53135,1.46152,0.75404,1.29907,0.000886404,0.000886404,0.000886404
24,4368.07,1.32603,0.73837,1.27552,0.92123,0.91815,0.95909,0.52653,1.48222,0.75242,1.30847,0.000876305,0.000876305,0.000876305
25,4550.88,1.32063,0.72648,1.26851,0.9188,0.92274,0.94763,0.48226,1.62001,0.76267,1.38447,0.000865839,0.000865839,0.000865839
26,4729.78,1.31686,0.71391,1.26928,0.93637,0.93365,0.9627,0.52028,1.51681,0.73366,1.3344,0.000855018,0.000855018,0.000855018
27,4911.13,1.31377,0.69316,1.26449,0.9025,0.90848,0.92631,0.42453,1.77182,0.80308,1.48186,0.000843851,0.000843851,0.000843851
28,5092.09,1.33578,0.70459,1.27103,0.93603,0.91973,0.95592,0.51645,1.50319,0.72773,1.33154,0.000832349,0.000832349,0.000832349
29,5276.25,1.31301,0.68198,1.26425,0.91736,0.91139,0.93133,0.42393,1.7851,0.77718,1.498,0.000820525,0.000820525,0.000820525
30,5456.38,1.33801,0.6808,1.27756,0.91392,0.90693,0.92908,0.4182,1.80748,0.79282,1.49495,0.000808389,0.000808389,0.000808389
31,5635.46,1.30659,0.66405,1.2521,0.94819,0.93878,0.96606,0.51811,1.53715,0.70497,1.33046,0.000795954,0.000795954,0.000795954
32,5814.41,1.28905,0.66907,1.24708,0.92754,0.90465,0.95184,0.50099,1.54475,0.74143,1.34097,0.000783231,0.000783231,0.000783231
33,5994.53,1.28335,0.6574,1.24532,0.92556,0.92568,0.95413,0.49832,1.55549,0.71975,1.36337,0.000770234,0.000770234,0.000770234
